"CHOICE","CAR_TT","TRAIN_TT","SM_TT","CAR_CO","TRAIN_CO","SM_CO","AGE","GA","SM_SEATS","LUGGAGE"
2,117,112,63,65,48,52,3,0,0,0
2,117,103,60,84,48,49,3,0,0,0
2,117,130,67,52,48,58,3,0,0,0
2,72,103,63,52,40,52,3,0,0,0
2,90,130,63,84,36,42,3,0,0,0
2,90,112,60,52,36,49,3,0,0,0
2,72,103,67,65,48,58,3,0,0,0
1,90,103,67,65,36,43,3,0,0,0
2,72,130,60,65,40,46,3,0,0,0
2,105,58,29,40,32,35,2,0,0,1
2,136,58,25,50,29,38,2,0,0,1
2,136,58,27,65,32,40,2,0,1,1
2,84,47,25,65,29,38,2,0,1,1
2,136,51,25,40,32,36,2,0,1,1
2,84,51,25,40,38,42,2,0,0,1
2,84,51,27,50,29,32,2,0,1,1
2,105,51,27,50,32,40,2,0,0,1
2,84,58,27,65,38,42,2,0,0,1
2,135,138,65,80,40,45,2,0,0,1
2,175,138,61,130,40,52,2,0,1,1
2,175,138,58,100,36,49,2,0,0,1
2,108,105,58,130,36,49,2,0,1,1
2,175,116,58,80,40,46,2,0,1,1
2,108,116,61,100,36,42,2,0,1,1
2,108,116,58,80,48,50,2,0,0,1
2,108,138,61,130,48,52,2,0,0,1
2,135,116,61,100,40,52,2,0,0,1
2,70,116,46,35,35,38,3,0,1,1
2,91,95,49,28,26,29,3,0,0,1
2,56,116,53,28,26,32,3,0,1,1
2,91,102,53,45,26,32,3,0,0,1
2,56,102,53,45,29,32,3,0,0,1
2,91,95,53,35,29,32,3,0,1,1
2,70,95,49,28,35,40,3,0,1,1
2,70,95,46,45,29,35,3,0,0,1
2,70,102,53,45,35,46,3,0,1,1
2,117,87,32,140,42,49,3,0,0,1
2,117,80,29,182,42,46,3,0,0,1
2,117,101,36,112,42,56,3,0,0,1
2,72,80,32,112,35,49,3,0,0,1
2,90,101,32,182,31,38,3,0,0,1
2,90,87,29,112,31,46,3,0,0,1
1,72,80,36,140,42,56,3,0,0,1
2,90,80,36,140,31,40,3,0,0,1
2,72,101,29,140,35,43,3,0,0,1
2,130,109,56,30,26,34,4,0,0,1
2,130,100,53,39,26,32,4,0,0,1
2,130,126,60,24,26,40,4,0,0,1
3,80,100,56,24,22,35,4,0,0,1
2,100,126,56,39,20,24,4,0,0,1
3,100,109,53,24,20,32,4,0,0,1
3,80,100,60,30,26,40,4,0,0,1
2,100,100,60,30,20,26,4,0,0,1
2,80,126,53,30,22,28,4,0,0,1
2,60,116,53,32,24,28,2,0,0,1
2,78,116,46,40,22,32,2,0,0,1
2,78,116,49,52,24,36,2,0,1,1
2,48,95,46,52,22,32,2,0,1,1
2,78,102,46,32,24,29,2,0,1,1
2,48,102,46,32,29,32,2,0,0,1
2,48,102,49,40,22,25,2,0,1,1
2,60,102,49,40,24,36,2,0,0,1
2,48,116,49,52,29,35,2,0,0,1
2,91,130,77,100,31,38,3,0,0,1
2,91,118,74,130,31,36,3,0,0,1
2,91,153,81,80,31,43,3,0,0,1
1,56,118,77,80,26,38,3,0,0,1
2,70,153,77,130,23,28,3,0,0,1
2,70,130,74,80,23,35,3,0,0,1
2,56,118,81,100,31,43,3,0,0,1
1,70,118,81,100,23,29,3,0,0,1
2,56,153,74,100,26,32,3,0,0,1
2,190,208,79,80,62,66,3,0,0,1
2,247,208,71,130,62,80,3,0,1,1
2,247,208,65,100,56,74,3,0,0,1
2,152,165,65,130,56,74,3,0,1,1
2,247,179,65,80,62,70,3,0,1,1
2,152,179,71,100,56,62,3,0,1,1
2,152,179,65,80,74,78,3,0,0,1
2,152,208,71,130,74,80,3,0,0,1
2,190,179,71,100,62,80,3,0,0,1
2,90,132,61,20,23,26,1,0,0,0
2,117,132,57,32,23,31,1,0,1,0
2,117,132,54,25,21,28,1,0,0,0
2,72,102,54,32,21,28,1,0,1,0
2,117,112,54,20,23,28,1,0,1,0
2,72,112,57,25,21,24,1,0,1,0
2,72,112,54,20,28,30,1,0,0,0
2,72,132,57,32,28,31,1,0,0,0
2,90,112,57,25,23,31,1,0,0,0
2,110,186,95,32,24,27,3,0,0,0
2,143,186,89,52,24,32,3,0,1,0
2,143,186,84,40,22,30,3,0,0,0
2,88,154,84,52,22,30,3,0,1,0
2,143,165,84,32,24,28,3,0,1,0
2,88,165,89,40,22,25,3,0,1,0
2,88,165,84,32,29,30,3,0,0,0
2,88,186,89,52,29,32,3,0,0,0
2,110,165,89,40,24,32,3,0,0,0
3,1200,212,121,10,26,27,1,0,1,1
1,1560,177,128,13,20,23,1,0,0,1
3,1560,159,124,8,20,22,1,0,0,1
3,960,212,128,8,20,23,1,0,1,1
1,960,177,128,13,22,24,1,0,0,1
1,1560,159,128,10,22,24,1,0,1,1
